codigo_ibge_origin,latitude_origin,longitude_origin,codigo_uf_origin,codigo_ibge_destination,latitude_destination,longitude_destination,codigo_uf_destination
2927804,-14.964,-398.115,29,3548609,-226.837,-457.287,35
3546306,-218.235,-47.248,35,4215802,-262.495,-493.831,42
5219209,-173.155,-484.809,52,1720101,-60.258,-479.012,17
3157336,-211.241,-442.202,31,2411700,-633.798,-360.863,24
4123303,-229.582,-532.949,41,2613008,-852.637,-364.465,26
3157377,-160.967,-417.418,31,4215752,-264.739,-529.687,42
1506401,-661.019,-491.771,15,2110609,-337.223,-424.191,21
2612505,-794.802,-362.061,26,3548708,-236.914,-465.646,35
3157401,-202.372,-428.169,31,4215901,-279.009,-489.326,42
2209104,-71.785,-417.609,22,4318002,-286.578,-560.036,43
3546405,-228.988,-496.354,35,2708204,-101.141,-368.522,27
4316808,-29.722,-524.343,43,3160900,-206.242,-439.515,31
5107743,-101.532,-523.953,51,2209559,-905.797,-430.076,22
2209153,-580.581,-419.506,22,2613107,-833.763,-362.869,26
3157500,-188.235,-424.388,31,1507102,-747.293,-480.246,15
3546504,-214.618,-483.953,35,3548807,-236.229,-465.548,35
4123402,-23.04,-51.808,41,3548906,-220.174,-47.886,35
5219258,-157.664,-511.037,52,4216008,-270.798,-530.037,42
3157609,-166.859,-454.102,31,4124608,-233.158,-524.761,41
1718865,-715.803,-487.165,17,2806701,-110.084,-372.044,28
3546603,-202.083,-50.932,35,4216057,-272.666,-504.388,42
2209203,-911.228,-459.116,22,2928901,-123.572,-449.769,29
2612554,-816.688,-406.079,26,2928950,-114.649,-395.268,29
2109759,-549.671,-445.638,21,4216107,-265.548,-525.313,42
3546702,-224.572,-475.272,35,2513968,-680.313,-379.488,25
4123501,-248.585,-54.336,41,2806800,-107.916,-375.685,28
4215554,-26.937,-536.214,42,5219803,-13.621,-467.415,52
2109809,-224.426,-45.29,21,3160959,-195.246,-420.106,31
2513307,-67.176,-386.427,25,1507151,-553.732,-487.366,15
5219308,-178.115,-505.977,52,2110658,-681.471,-446.509,21
3157658,-169.707,-406.727,31,1507201,-168.768,-477.665,15
2927903,-132.793,-39.814,29,2513943,-763.273,-364.374,25
4123600,-226.376,-519.024,41,2110708,-558.095,-443.822,21
2513356,-7.621,-38.554,25,3204658,-191.452,-406.281,32
2109908,-365.112,-453.774,21,3161007,-198.678,-42.971,31
3546801,-233.172,-462.237,35,4318051,-285.312,-51.886,43
5219357,-152.958,-494.259,52,2929107,-128.394,-390.893,29
4123709,-230.025,-531.989,41,1101484,-119.023,-615.026,11
1303601,-410.824,-650.092,13,2929008,-126.104,-389.727,29
4123808,-258.217,-534.801,41,2110807,-707.535,-448.092,21
1506500,-129.686,-481.606,15,3161056,-185.959,-414.889,31
3157708,-193.108,-475.322,31,5107859,-11.615,-506.706,51
3204500,-200.999,-40.527,32,2929057,-134.019,-441.837,29
3546900,-21.685,-480.885,35,2209609,-593.485,-421.172,22
4123824,-254.104,-535.638,41,1720150,-101.615,-466.618,17
2209302,-89.488,-441.296,22,1507300,-664.254,-519.904,15
2110005,-406.873,-45.69,21,2411809,-637.975,-371.864,24
2928059,-154.342,-393.287,29,3304805,-216.551,-41.756,33
3157807,-197.548,-438.497,31,3549003,-203.623,-506.952,35
2513406,-686.092,-369.178,25,2513984,-660.773,-380.968,25
1100296,-119.074,-617.777,11,2806909,-103.442,-368.869,28
2806305,-113.536,-374.586,28,3161106,-159.514,-448.593,31
2707909,-96.037,-358.232,27,4318101,-295.547,-551.253,43
1506559,-152.147,-469.008,15,2209658,-823.599,-416.873,22
2110039,-251.123,-457.801,21,5219902,-159.256,-492.605,52
3157906,-203.839,-422.519,31,3304755,-214.702,-411.091,33
4316972,-303.393,-540.817,43,4318200,-294.404,-505.828,43
4316907,-296.868,-538.149,43,3161205,-207.036,-449.838,31
2409332,-583.802,-356.914,24,3161304,-198.611,-497.727,31
2612604,-879.766,-398.241,26,2110856,-512.584,-47.389,21
3547007,-225.661,-481.593,35,2929206,-126.183,-386.786,29
2928109,-133.859,-442.011,29,3161403,-207.923,-422.673,31
1506583,-885.784,-497.215,15,1101492,-12.052,-63.568,11
3158003,-194.431,-431.064,31,2110906,-625.159,-428.668,21
3204559,-200.253,-407.439,32,2411908,-597.472,-381.519,24
2612703,-783.676,-358.941,26,1507409,-116.963,-477.917,15
4316956,-294.902,-509.919,43,2209708,-72.463,-42.541,22
4123857,-249.377,-518.696,41,4216206,-262.579,-486.344,42
1506609,-135.392,-475.712,15,4318309,-303.337,-543.217,43
3158102,-162.479,-401.512,31,2929255,-112.175,-418.843,29
3158201,-181.896,-424.139,31,1303809,-11.909,-67.084,13
1718881,-88.046,-477.887,17,3204708,-190.182,-405.365,32
3304607,-219.547,-420.098,33,5007695,-193.889,-545.507,50
4123907,-231.465,-505.167,41,3161502,-209.252,-428.364,31
3547106,-213.495,-517.564,35,3161601,-188.411,-422.867,31
4123956,-23.108,-531.103,41,1507458,-639.471,-485.592,15
2312205,-432.608,-401.523,23,3161650,-189.097,-41.363,31
2110104,-349.308,-425.688,21,3304904,-228.268,-430.634,33
2110203,-314.241,-443.211,21,3161700,-183.315,-458.265,31
2513703,-711.724,-349.753,25,2412005,-579.068,-353.257,24
3547403,-201.414,-508.358,35,2312403,-360.515,-389.726,23
3159209,-220.292,-463.385,31,2209757,-100.319,-453.092,22
2928406,-110.063,-445.255,29,3161809,-199.822,-448.593,31
3159407,-215.658,-439.163,31,2209807,-599.393,-427.095,22
3159308,-221.474,-440.977,31,3161908,-198.221,-43.366,31
3159357,-19.876,-421.363,31,3125507,-180.025,-433.854,31
5219407,-173.269,-532.012,52,3162005,-218.932,-455.893,31
3159506,-193.576,-413.821,31,2929305,-124.331,-389.663,29
5219456,-151.351,-491.203,52,3162104,-193.087,-460.465,31
5007554,-213.016,-528.333,50,4318408,-299.716,-517.251,43
3547502,-217.083,-47.478,35,4124707,-237.218,-507.475,41
3159605,-222.461,-457.034,31,4124806,-258.214,-527.252,41
1718899,-108.617,-489.161,17,2613206,-887.576,-363.653,26
5107768,-138.146,-552.706,51,2111003,-295.398,-447.953,21
4317202,-278.702,-544.796,43,4216305,-272.772,-488.474,42
3159704,-195.186,-459.611,31,3162203,-20.635,-46.508,31
5219506,-16.084,-494.953,52,5220009,-147.048,-475.228,52
4215604,-280.331,-49.133,42,1400506,951.659,-599.133,14
2806503,-106.434,-371.931,28,3305000,-21.638,-410.446,33
3547601,-214.776,-473.622,35,3549102,-219.707,-467.944,35
